"article","indiv","dpi","sample_type","val_total","val_sg","val_inf","lod_total","lod_sg","lod_inf","loq_total","loq_sg","loq_inf","tg_total","tg_sg","sample_grp","sample_rep","units_inf","animal_species","sex","age_class_stand","age_class_rep","age_years_rep","inoc_dose_total_pfu","inoc_dose_total_TCID","inoc_route","inoc_dose_units_rep","cell_line","viral_strain","units_total","units_sg","culture_assay"
"Ishigaki et al. 2021","HI_CE0202M",7,"Non-invasive","< LOD",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Ocular Sample","Conjunctival Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",10,"Non-invasive","2.85185185185185",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Ocular Sample","Conjunctival Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",14,"Non-invasive","< LOD",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Ocular Sample","Conjunctival Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",17,"Non-invasive","2.55555555555556",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Ocular Sample","Conjunctival Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",21,"Non-invasive","2.4074074074074",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Ocular Sample","Conjunctival Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",24,"Non-invasive","< LOD",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Ocular Sample","Conjunctival Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",1,"Non-invasive","9.11229946524064",NA,"4.5","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Nasal Sample","Nasal Cavity Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",3,"Non-invasive","8.36363636363637",NA,"2.77","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Nasal Sample","Nasal Cavity Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",7,"Non-invasive","7.91443850267379",NA,"3.33","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Nasal Sample","Nasal Cavity Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",10,"Non-invasive","6.52941176470588",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Nasal Sample","Nasal Cavity Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",14,"Non-invasive","5.06951871657754",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Nasal Sample","Nasal Cavity Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",17,"Non-invasive","2.74866310160428",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Nasal Sample","Nasal Cavity Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",21,"Non-invasive","< LOD",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Nasal Sample","Nasal Cavity Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",24,"Non-invasive","2.29946524064171",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Nasal Sample","Nasal Cavity Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",1,"Non-invasive","8.5925925925926",NA,"4.83","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Oral Sample","Oral Cavity Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",3,"Non-invasive","7",NA,"1.5","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Oral Sample","Oral Cavity Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",7,"Non-invasive","7.37037037037037",NA,"1.67","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Oral Sample","Oral Cavity Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",10,"Non-invasive","4.37037037037037",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Oral Sample","Oral Cavity Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",14,"Non-invasive","3.51851851851852",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Oral Sample","Oral Cavity Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",17,"Non-invasive","3.55555555555555",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Oral Sample","Oral Cavity Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",21,"Non-invasive","3.59259259259259",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Oral Sample","Oral Cavity Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",24,"Non-invasive","4.03703703703704",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Oral Sample","Oral Cavity Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",1,"Non-invasive","7.55555555555556",NA,"3.33","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Tracheal Sample","Tracheal Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",3,"Non-invasive","6.33333333333333",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Tracheal Sample","Tracheal Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",7,"Non-invasive","5.14814814814815",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Tracheal Sample","Tracheal Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",10,"Non-invasive","3.92592592592592",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Tracheal Sample","Tracheal Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",14,"Non-invasive","< LOD",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Tracheal Sample","Tracheal Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",17,"Non-invasive","2.44444444444444",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Tracheal Sample","Tracheal Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",21,"Non-invasive","2.48148148148148",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Tracheal Sample","Tracheal Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",24,"Non-invasive","2.7037037037037",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Tracheal Sample","Tracheal Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",1,"Non-invasive","8.40425531914893",NA,"2","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Bronchial Sample","Bronchus Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",3,"Non-invasive","6.95212765957447",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Bronchial Sample","Bronchus Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",7,"Non-invasive","4.1968085106383",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Bronchial Sample","Bronchus Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",10,"Non-invasive","3.89893617021277",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Bronchial Sample","Bronchus Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",14,"Non-invasive","< LOD",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Bronchial Sample","Bronchus Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",17,"Non-invasive","2.96808510638298",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Bronchial Sample","Bronchus Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",21,"Non-invasive","2.67021276595745",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Bronchial Sample","Bronchus Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",24,"Non-invasive","< LOD",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Bronchial Sample","Bronchus Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",1,"Non-invasive","3.87894736842105",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Anal / Rectal Sample","Rectal Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",3,"Non-invasive","4.76315789473684",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Anal / Rectal Sample","Rectal Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",7,"Non-invasive","3.06842105263158",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Anal / Rectal Sample","Rectal Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",10,"Non-invasive","6.60526315789474",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Anal / Rectal Sample","Rectal Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",14,"Non-invasive","5.64736842105263",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Anal / Rectal Sample","Rectal Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",17,"Non-invasive","4.98421052631579",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Anal / Rectal Sample","Rectal Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",21,"Non-invasive","5.24210526315789",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Anal / Rectal Sample","Rectal Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0202M",24,"Non-invasive","5.13157894736842",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Anal / Rectal Sample","Rectal Swab","log10 TCID50/mL","cynomolgus macaque","Male","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0324F",1,"Non-invasive","7.74074074074074",NA,"1.5","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Ocular Sample","Conjunctival Swab","log10 TCID50/mL","cynomolgus macaque","Female","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0324F",3,"Non-invasive","5.55555555555556",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Ocular Sample","Conjunctival Swab","log10 TCID50/mL","cynomolgus macaque","Female","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0324F",7,"Non-invasive","3.18518518518518",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Ocular Sample","Conjunctival Swab","log10 TCID50/mL","cynomolgus macaque","Female","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0324F",10,"Non-invasive","2.77777777777778",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Ocular Sample","Conjunctival Swab","log10 TCID50/mL","cynomolgus macaque","Female","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0324F",14,"Non-invasive","< LOD",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Ocular Sample","Conjunctival Swab","log10 TCID50/mL","cynomolgus macaque","Female","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0324F",17,"Non-invasive","2.44444444444444",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Ocular Sample","Conjunctival Swab","log10 TCID50/mL","cynomolgus macaque","Female","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0324F",21,"Non-invasive","< LOD",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Ocular Sample","Conjunctival Swab","log10 TCID50/mL","cynomolgus macaque","Female","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0324F",24,"Non-invasive","< LOD",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Ocular Sample","Conjunctival Swab","log10 TCID50/mL","cynomolgus macaque","Female","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0324F",1,"Non-invasive","7.87700534759359",NA,"3.5","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Nasal Sample","Nasal Cavity Swab","log10 TCID50/mL","cynomolgus macaque","Female","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0324F",3,"Non-invasive","7.05347593582888",NA,"1.33","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Nasal Sample","Nasal Cavity Swab","log10 TCID50/mL","cynomolgus macaque","Female","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0324F",7,"Non-invasive","6.41711229946524",NA,"Pos","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Nasal Sample","Nasal Cavity Swab","log10 TCID50/mL","cynomolgus macaque","Female","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0324F",10,"Non-invasive","4.80748663101604",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Nasal Sample","Nasal Cavity Swab","log10 TCID50/mL","cynomolgus macaque","Female","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0324F",14,"Non-invasive","3.12299465240642",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Nasal Sample","Nasal Cavity Swab","log10 TCID50/mL","cynomolgus macaque","Female","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0324F",17,"Non-invasive","2.37433155080214",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Nasal Sample","Nasal Cavity Swab","log10 TCID50/mL","cynomolgus macaque","Female","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0324F",21,"Non-invasive","2.93582887700535",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Nasal Sample","Nasal Cavity Swab","log10 TCID50/mL","cynomolgus macaque","Female","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0324F",24,"Non-invasive","< LOD",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Nasal Sample","Nasal Cavity Swab","log10 TCID50/mL","cynomolgus macaque","Female","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0324F",1,"Non-invasive","7.03703703703704",NA,"2.5","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Oral Sample","Oral Cavity Swab","log10 TCID50/mL","cynomolgus macaque","Female","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0324F",3,"Non-invasive","5.62962962962963",NA,"Neg","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Oral Sample","Oral Cavity Swab","log10 TCID50/mL","cynomolgus macaque","Female","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
"Ishigaki et al. 2021","HI_CE0324F",7,"Non-invasive","5.48148148148148",NA,"Pos","2",NA,"0.67","Unknown",NA,"Unknown","N",NA,"Oral Sample","Oral Cavity Swab","log10 TCID50/mL","cynomolgus macaque","Female","Adult","Unknown","15",1540000,2200000,"IT, IN, OR, OC","TCID50","Vero E6","SARS-CoV-2/human/JPN/WK-521/2020","log10 total RNA copies/mL",NA,"TCID50"
